id,body
1,"*You are an insidious POV ``editor`` - I use quotation marks as personally I consider you very far from a competent content editor. Get a live, learn some integrity and as far as I'm concerned move on. You are not worth the dirt on my shoes ... take a hike ... do I need to make my thoughts about you any clearer?

Researcher’s note: POV is an acronym for Point Of View"
2,"If this is really world you enter my yard, I will use my hunter rifle blow out you head.
But we are in wiki, so I will flag you as vandals."
3,"Moron. In that brothel your mother work? Go find out who is your father. I'm going out of this puppet account, if you want, Block Me Till Armageddon"
4,You will be my #1 target now. I pity #2.
5,"Re. dicks. How many dicks do you have in your mouth right now? Tell the truth. It's over fifty, isn't it?"
6,"FFS. You sad little cock muncher.

Researcher’s note: FFS is an acronym for For Fuck’s Sake."
7,U no wat ass hole go fuck your self and stop ben a dick head u in trouble no motha fucka u be getin a visit fronm the fbi.buddy so keep it coming and yourl never find me
8,You should join that autistic Pope in Rome and go fuck yourselves with Sin until all your maggot brains turn into soup.
9,"FUCK YOU THUE. YOU BRAIN DEAD FUCK, YOU CAN'T BLOCK ME. THANKS TO PROXY SERVERS AND ANON BROWSING I CAN COME TO WIKI ZILLION TIMES SO IF SCUM LIKE YOU THINK THAT YOU CAN BLOCK ME THEN YOU ARE IN FOR BIG SURPRISE YOU FAGGOT. I AM GIVING YOU LAST CHANCE IN CIVILIZED WAY TO STOP VANDALIZING KASH JAFFREY. DON'T FUCK WITH CANADIAN CONTENT, ITS TO ADVANCE FOR YOUR EMPTY BRAIN TO CONCIEVE. AND LASTLY IF YOU WANT TO LEAVE MESSAGE THEN WRITE (DON'T USE PREDEFINE ONE LINERS.) SEE YA ASSHOLE"
10,"LISTEN UP WIKI-KIKES, 

Burn this IP, it means nothing. I have 1000's more.

You support those who vandalize and rewrite entire articles that they know nothing about and are not NPOV. 

You shall suffer for this. 

- holy6vfds

Researcher’s note: IP is an acronym for Internet Protocol, and is the internet equivalent of a telephone number for your computer. NPOV is an acronym for Neutral Point Of View. "
11,"Stop being a shithead, or I will rip off your head and piss down your esophagus, mother fucker."
12,I’m back!!! I'm back and I fully intend to continue vandalizing your page and imitating your signature in comments -) 
13,"This is for removing my post on 100%. I'm going to DDOS your toaster for this.

Researcher’s note: DDOS is an acronym for Distributed Denial Of Service, and is a method usually used for attacking websites - having so many fake users access a website/resource that the website/resource goes down.  "
14,Su:)ck my ba:)lls you fa:)g:)got. loser.
15,SHUT THE FUCK UP BITCH U DONT KNOW ME SO I SUGGEST U KEEP UR FUCKIN MOUTH SHUT AND MIND UR OWN BUSINESS U DAMN NERD.
16,Fdsgdfgfd. why don't you die?
17,This user would love to suck the penis of Jesus and to lick filthy balls son of a whore.
18,Hey. How is it being a wanker. Haha you dick
19,You bitch change that image on the 4 train line article right back if you can't tell the difference between an r142 and an r142a that's your fucking problem you might as well revert the images on the b and l train line articles while you're at it
20,Yopu smell like fish
