id,uuid,harassing,swearing
2,1f934b0b-c4b3-4130-a490-67d18601efab,kill rape murder,fuck
3,5325ce4c-c9e4-46a3-89da-cb2104cd67c9,kill rape stab,fuck
4,8f5b96db-656d-4d9b-add5-d193cca92afe,"",""
5,8bb45aef-5e4a-4216-97c6-86c06714306e,"kill, die, murder","fuck, shit, piss"
6,419816a4-a583-45dc-b73e-b4d723373121,"",""
7,91c116cb-dfb2-4bb7-85e9-f97ae651d3db,"go, suck, die","fuck, shit, wank"
8,433381bd-446f-4606-aa43-7e1235b76b6e,"",""
9,b5802ccd-40b1-4eca-bbaa-c93168e5c608,"Kill, rape, stab","Fuck, shit, piss"
10,6212af02-c142-408d-854f-577450839639,"going (as in ""I'm going to...""), block (""you can't block me"")","fucking, pissing, shitting"
11,fc5e1fd6-3bda-430a-9f9f-e45192f0cd4f,Fuck die remove,Fuck bugger piss off 
12,e2d3df8f-1e48-4a08-9369-0e2ef5248147,Kill rape fuck,Fuck shit ?
